39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
42, Private,484638, HS-grad,9, Never-married, Tech-support, Unmarried, Amer-Indian-Eskimo, Male,-17,-4,26, United-States, <=50K
66, Local-gov,395336, HS-grad,8, Widowed, Adm-clerical, Unmarried, White, Female,29,-3,37, United-States, <=50K
43, Private,231677, HS-grad,8, Widowed, Handlers-cleaners, Unmarried, Black, Female,136,-2,34, Jamaica, <=50K
31, Private,114426, Masters,13, Divorced, Prof-specialty, Wife, Asian-Pac-Islander, Male,-64,0,58, South, >50K
20, Private,219165, HS-grad,8, Never-married, Other-service, Unmarried, Black, Female,55,-5,40, United-States, <=50K
48, Private,388654, HS-grad,8, Widowed, ?, Unmarried, White, Female,26,0,12, United-States, <=50K
20, Private,162011, HS-grad,8, Widowed, Tech-support, Not-in-family, White, Male,-6,3,20, Honduras, <=50K
39, Private,246908, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,22,0,17, Mexico, <=50K
44, ?,252766, HS-grad,13, Divorced, Adm-clerical, Unmarried, White, Female,16,0,39, United-States, <=50K
43, Private,369648, Assoc-acdm,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,-2,1994,39, Canada, >50K
46, Self-emp-not-inc,226018, HS-grad,8, Divorced, Adm-clerical, Unmarried, White, Female,4,-4,40, United-States, <=50K
72, Federal-gov,178060, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,16,2,39, China, <=50K
50, Private,63025, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,71,3,40, India, >50K
21, ?,364261, Assoc-acdm,9, Never-married, ?, Own-child, Black, Female,25,-3,7, United-States, <=50K
45, Local-gov,141847, HS-grad,8, Widowed, Adm-clerical, Unmarried, White, Female,-58,-4,37, United-States, <=50K
27, Local-gov,345784, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,38,0,39, ?, >50K
33, Private,209084, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,46,7,64, United-States, <=50K
44, ?,116534, Some-college,4, Married-civ-spouse, Craft-repair, Husband, White, Male,-10,0,44, United-States, <=50K
25, Federal-gov,238524, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,-17,-1,39, United-States, <=50K
32, ?,35442, 10th,6, Never-married, ?, Other-relative, White, Male,-14,-2,11, United-States, <=50K
39, ?,459671, Doctorate,9, Never-married, Adm-clerical, Husband, White, Male,-24,-1,39, Canada, <=50K
41, Self-emp-inc,106610, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Female,-1,1930,39, United-States, >50K
52, Local-gov,168571, HS-grad,9, Widowed, Other-service, Not-in-family, Asian-Pac-Islander, Female,43,-2,21, United-States, <=50K
43, Self-emp-inc,35324, Assoc-voc,10, Married-civ-spouse, Tech-support, Wife, White, Male,-1,3,39, United-States, >50K
27, Private,183929, Doctorate,3, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,-48,-2,25, Honduras, <=50K
30, Private,156752, 10th,8, Never-married, Craft-repair, Not-in-family, Other, Male,103,-3,40, United-States, <=50K
35, Private,326400, Some-college,10, Married-civ-spouse, Exec-managerial, Own-child, White, Male,9,3,39, United-States, >50K
30, Private,217982, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,12,4,39, Canada, <=50K
65, ?,321242, Some-college,9, Married-civ-spouse, Sales, Husband, White, Male,81,0,39, United-States, <=50K
20, Private,280108, 11th,7, Never-married, Craft-repair, Own-child, White, Male,-31,0,39, United-States, <=50K
55, Self-emp-inc,495988, Some-college,4, Married-civ-spouse, Craft-repair, Husband, Black, Male,19,2,49, England, <=50K
31, Self-emp-not-inc,410540, Assoc-voc,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,-7,0,65, United-States, >50K
64, Private,127691, Bachelors,12, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,-27,-1,39, United-States, <=50K
22, Private,420933, HS-grad,8, Never-married, Adm-clerical, Not-in-family, White, Male,61,0,16, United-States, <=50K
37, Private,125586, Assoc-acdm,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,48,3,49, United-States, >50K
47, Local-gov,363546, Assoc-voc,8, Never-married, Tech-support, Unmarried, White, Male,3802,3,18, United-States, <=50K
20, Private,127820, Bachelors,4, Never-married, Machine-op-inspct, Not-in-family, White, Male,-44,1,39, India, <=50K
27, ?,191697, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,69,0,39, United-States, <=50K
21, Private,175080, Bachelors,13, Never-married, Other-service, Other-relative, Other, Male,1,-1,39, Dominican-Republic, <=50K
31, Private,129842, HS-grad,7, Divorced, Farming-fishing, Not-in-family, Black, Male,-32,3,33, Mexico, <=50K
50, Private,335428, 5th-6th,2, Married-civ-spouse, Exec-managerial, Own-child, Other, Male,91,0,33, South, <=50K
64, Private,94837, HS-grad,8, Divorced, Adm-clerical, Unmarried, White, Female,52,-1,40, United-States, <=50K
28, Private,205318, HS-grad,8, Never-married, Adm-clerical, Not-in-family, White, Male,3270,-1,49, ?, <=50K
29, Private,386653, HS-grad,3, Never-married, Handlers-cleaners, Other-relative, White, Female,7,-2,39, United-States, <=50K
48, Private,217396, HS-grad,12, Divorced, Priv-house-serv, Not-in-family, Black, Female,-71,1,35, United-States, <=50K
19, ?,348498, 11th,6, Never-married, Handlers-cleaners, Own-child, White, Male,19,0,39, United-States, <=50K
46, Private,324790, Bachelors,13, Married-civ-spouse, Farming-fishing, Wife, White, Male,13860,1,57, United-States, <=50K
21, Private,93556, 9th,8, Never-married, Handlers-cleaners, Not-in-family, White, Female,-47,-2,39, United-States, <=50K
31, Private,503590, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-16,-7,49, United-States, <=50K
52, Private,44554, HS-grad,8, Widowed, Adm-clerical, Not-in-family, White, Female,35,1740,21, United-States, >50K
38, Private,103296, HS-grad,14, Married-civ-spouse, Sales, Wife, Black, Male,-25,0,39, South, <=50K
36, Without-pay,229472, HS-grad,8, Separated, ?, Unmarried, White, Female,4125,0,31, United-States, <=50K
62, Private,279880, HS-grad,8, Divorced, Other-service, Unmarried, White, Female,15,-3,20, United-States, <=50K
51, Private,343919, HS-grad,4, Married-spouse-absent, Craft-repair, Not-in-family, Black, Male,-55,0,14, United-States, <=50K
43, Private,160875, HS-grad,8, Never-married, Machine-op-inspct, Wife, White, Male,4233,1,35, Jamaica, <=50K
32, Self-emp-not-inc,347896, Assoc-voc,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,45,-3,25, United-States, <=50K
50, ?,143821, HS-grad,8, Married-civ-spouse, ?, Husband, White, Male,46,-2,31, United-States, <=50K
37, Self-emp-inc,127436, Masters,15, Married-civ-spouse, Protective-serv, Husband, White, Male,66,1,39, United-States, >50K
23, Private,147778, HS-grad,6, Never-married, Other-service, Own-child, White, Male,-53,-2,34, United-States, <=50K
55, Private,303034, Masters,11, Separated, Prof-specialty, Unmarried, White, Female,0,-1,32, United-States, <=50K
27, Private,269545, Assoc-voc,12, Never-married, Handlers-cleaners, Not-in-family, Black, Male,6,-1,25, United-States, <=50K
21, Private,199730, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Female,20,0,22, United-States, <=50K
37, Private,242426, HS-grad,8, Separated, Machine-op-inspct, Other-relative, Black, Female,6,3,39, United-States, <=50K
52, Self-emp-not-inc,171370, Some-college,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,-35,-3,20, United-States, <=50K
38, Private,180030, HS-grad,9, Never-married, Sales, Own-child, White, Male,54,-1,16, United-States, <=50K
34, Self-emp-not-inc,211550, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,24,-5,39, El-Salvador, <=50K
30, ?,160213, HS-grad,8, Divorced, ?, Unmarried, White, Female,-27,-2,36, United-States, <=50K
52, Private,123836, Some-college,4, Married-civ-spouse, Transport-moving, Husband, White, Male,6,-3,31, Mexico, <=50K
43, Private,391071, Bachelors,8, Widowed, Machine-op-inspct, Not-in-family, White, Female,-55,0,33, China, <=50K
30, Self-emp-not-inc,142689, 7th-8th,4, Never-married, Sales, Not-in-family, White, Female,32,1,40, India, <=50K
52, Self-emp-inc,401618, Some-college,5, Married-civ-spouse, Transport-moving, Husband, White, Male,-35,-3,49, United-States, >50K
60, Private,50468, Masters,3, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,-57,0,39, United-States, <=50K
39, State-gov,282314, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White, Female,69,0,32, United-States, <=50K
29, Private,192773, Some-college,10, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,29,-1,39, United-States, >50K
61, Self-emp-not-inc,43820, Some-college,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,39, Mexico, <=50K
33, Private,172384, Assoc-voc,13, Divorced, Craft-repair, Unmarried, White, Male,13,0,39, El-Salvador, <=50K
35, Federal-gov,44655, Some-college,9, Married-civ-spouse, Transport-moving, Husband, White, Male,-47,2,39, United-States, >50K
26, Private,287919, Assoc-acdm,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-2,1773,74, United-States, >50K
17, Private,102198, 11th,10, Never-married, Machine-op-inspct, Other-relative, White, Male,1,-1,22, United-States, <=50K
31, Private,368251, Assoc-voc,9, Never-married, Tech-support, Not-in-family, White, Male,58,-1,39, United-States, <=50K
36, Self-emp-inc,50379, Some-college,9, Married-civ-spouse, Tech-support, Husband, White, Male,83,5,50, United-States, >50K
27, Private,122790, HS-grad,9, Never-married, Other-service, Own-child, White, Male,24,0,34, United-States, <=50K
32, Private,190516, 9th,10, Married-civ-spouse, ?, Husband, White, Male,-36,0,44, United-States, <=50K
36, Private,269144, Bachelors,4, Widowed, Sales, Unmarried, White, Male,11,-2,40, Puerto-Rico, <=50K
21, Self-emp-not-inc,116079, 11th,8, Never-married, Handlers-cleaners, Own-child, White, Female,32,-4,21, United-States, <=50K
60, Private,207856, HS-grad,9, Never-married, Farming-fishing, Wife, Asian-Pac-Islander, Female,21,2,57, United-States, <=50K
41, Private,325121, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-18,-3,39, Mexico, <=50K
27, Private,302232, Doctorate,5, Married-civ-spouse, Craft-repair, Not-in-family, White, Male,46,1,40, Mexico, <=50K
59, Private,122575, Bachelors,13, Divorced, Machine-op-inspct, Not-in-family, White, Female,-33,-1,37, United-States, <=50K
57, Federal-gov,258049, HS-grad,4, Separated, Tech-support, Husband, White, Male,96,-1,39, United-States, <=50K
32, Private,323428, Masters,14, Married-civ-spouse, Protective-serv, Wife, White, Male,60,3,57, United-States, >50K
44, Federal-gov,347793, Some-college,9, Married-civ-spouse, Transport-moving, Husband, White, Male,-38,-3,40, ?, >50K
73, Federal-gov,252908, HS-grad,9, Separated, ?, Not-in-family, White, Female,-36,-1,39, Honduras, <=50K
32, Private,372870, Some-college,12, Married-civ-spouse, Sales, Husband, White, Male,49,0,43, ?, >50K
40, Private,103280, 7th-8th,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,-79,2,50, United-States, >50K
21, Private,256805, HS-grad,4, Never-married, ?, Own-child, White, Female,-35,0,39, United-States, <=50K
18, Private,362632, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,23,-5,22, Mexico, <=50K
52, Local-gov,244694, HS-grad,9, Separated, Adm-clerical, Not-in-family, White, Female,-20,0,39, United-States, <=50K
36, Private,370514, HS-grad,9, Married-civ-spouse, Farming-fishing, Own-child, White, Male,-27,1,34, Mexico, <=50K
53, Never-worked,194952, 10th,3, Never-married, Handlers-cleaners, Wife, White, Male,40,4,40, ?, <=50K
27, State-gov,107063, 12th,13, Never-married, Adm-clerical, Not-in-family, White, Female,-62,0,39, United-States, <=50K
35, State-gov,108055, Assoc-voc,12, Never-married, ?, Unmarried, White, Female,30,1,21, United-States, <=50K
50, Self-emp-inc,31459, Some-college,9, Married-civ-spouse, Tech-support, Husband, White, Male,54,1883,49, United-States, >50K
34, Private,234657, Bachelors,12, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,-15,1,40, South, <=50K
30, Private,308308, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,28,-4,21, United-States, <=50K
45, Local-gov,326437, HS-grad,8, Divorced, Adm-clerical, Unmarried, White, Female,40,0,39, United-States, <=50K
64, Private,249866, HS-grad,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,-91,1,48, United-States, <=50K
21, ?,108427, 11th,6, Never-married, ?, Not-in-family, White, Male,-2,-2,12, United-States, <=50K
67, Private,59977, Masters,11, Married-civ-spouse, Sales, Not-in-family, Black, Male,8386,-5,59, United-States, >50K
45, Private,48549, Some-college,9, Divorced, Adm-clerical, Unmarried, White, Female,66,-3,40, Iran, <=50K
59, State-gov,163864, HS-grad,9, Separated, Machine-op-inspct, Unmarried, Black, Female,-61,1,10, United-States, <=50K
55, ?,101501, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,-12,-1,18, United-States, <=50K
34, ?,182808, Assoc-acdm,13, Divorced, ?, Not-in-family, White, Female,-16,-1,39, United-States, >50K
29, Private,182300, 9th,12, Never-married, Sales, Husband, White, Male,39,0,50, United-States, >50K
35, Federal-gov,65277, HS-grad,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,16250,2,49, United-States, >50K
32, Local-gov,104036, Bachelors,12, Married-spouse-absent, Prof-specialty, Unmarried, White, Male,34,0,11, United-States, <=50K
48, Self-emp-not-inc,37981, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-52,-1,40, United-States, >50K
53, Private,177740, 9th,4, Married-civ-spouse, Handlers-cleaners, Not-in-family, White, Male,-23,4,57, Cuba, <=50K
31, State-gov,115757, Bachelors,12, Married-spouse-absent, Sales, Not-in-family, White, Female,-21,-2,40, United-States, <=50K
29, Without-pay,200050, Some-college,10, Separated, Machine-op-inspct, Unmarried, White, Male,-2,1,49, United-States, <=50K
29, Private,116776, Doctorate,13, Never-married, Sales, Not-in-family, White, Male,43,4,40, United-States, <=50K
36, Private,307550, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black, Male,-18,0,35, United-States, <=50K
35, Self-emp-inc,240643, Prof-school,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,49,0,64, United-States, >50K
33, Private,32861, Some-college,10, Divorced, ?, Unmarried, White, Male,-11,0,44, United-States, <=50K
44, ?,196155, Prof-school,14, Married-civ-spouse, Prof-specialty, Unmarried, White, Female,15,0,34, United-States, >50K
33, Private,413351, Masters,10, Never-married, Tech-support, Other-relative, Asian-Pac-Islander, Male,60,1,40, United-States, <=50K
24, Private,292011, Bachelors,12, Never-married, Prof-specialty, Not-in-family, White, Male,-21,-6,39, Canada, >50K
43, Self-emp-not-inc,134938, Assoc-voc,12, Married-civ-spouse, Exec-managerial, Husband, White, Female,69,-2,65, United-States, >50K
45, Private,269164, Bachelors,9, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,24,-3,40, Jamaica, <=50K
36, Private,176774, Some-college,12, Married-civ-spouse, Sales, Husband, White, Male,44,3,50, United-States, <=50K
47, Self-emp-not-inc,177938, HS-grad,9, Married-civ-spouse, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Male,29,1,21, United-States, <=50K
47, Self-emp-not-inc,172238, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,-48,1,44, United-States, <=50K
48, Private,348892, 9th,5, Married-civ-spouse, Exec-managerial, Not-in-family, White, Male,-84,-2,39, ?, >50K
42, Local-gov,84889, Prof-school,11, Married-civ-spouse, Adm-clerical, Wife, White, Male,24,-2,39, United-States, <=50K
19, ?,222500, Some-college,9, Never-married, ?, Own-child, White, Male,-126,-3,39, United-States, <=50K
51, Private,236494, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male,13,0,40, United-States, <=50K
39, Private,51917, Bachelors,10, Married-civ-spouse, Exec-managerial, Wife, White, Male,-46,0,39, United-States, <=50K
27, Self-emp-not-inc,184585, HS-grad,8, Married-civ-spouse, Machine-op-inspct, Own-child, White, Male,205,-1,48, El-Salvador, <=50K
32, Private,44860, Doctorate,9, Never-married, Adm-clerical, Other-relative, White, Male,17,0,49, United-States, <=50K
42, Local-gov,366569, Bachelors,12, Widowed, Prof-specialty, Not-in-family, White, Male,20,0,39, United-States, <=50K
26, Private,356303, 12th,13, Never-married, Other-service, Own-child, Black, Female,8,-1,39, United-States, <=50K
30, Private,306571, HS-grad,8, Never-married, ?, Not-in-family, White, Female,6,-1,21, United-States, <=50K
38, Self-emp-not-inc,108068, Bachelors,13, Separated, ?, Not-in-family, White, Female,-6,1,39, United-States, <=50K
40, Private,58193, Prof-school,14, Widowed, Exec-managerial, Not-in-family, White, Female,28,2,40, United-States, >50K
52, Private,124487, Assoc-voc,13, Married-civ-spouse, ?, Wife, White, Female,-84,-1,17, United-States, <=50K
40, Private,192078, Some-college,11, Divorced, Machine-op-inspct, Not-in-family, White, Male,-19,1,39, United-States, <=50K
33, Private,153981, HS-grad,8, Never-married, Other-service, Not-in-family, Black, Male,66,0,34, United-States, <=50K
34, Federal-gov,245692, Assoc-acdm,3, Never-married, Adm-clerical, Not-in-family, White, Female,35,0,39, United-States, <=50K
45, Private,227892, Doctorate,10, Married-civ-spouse, Sales, Husband, White, Male,-6,-5,39, United-States, >50K
62, Federal-gov,72131, HS-grad,9, Married-civ-spouse, Transport-moving, Unmarried, White, Female,45,3,31, Germany, <=50K
34, Private,41850, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Amer-Indian-Eskimo, Male,9,0,33, United-States, >50K
27, Private,441225, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,106,-2,17, United-States, <=50K
50, State-gov,34656, Assoc-acdm,13, Married-civ-spouse, Prof-specialty, Wife, White, Male,2250,0,55, Ireland, >50K
46, Self-emp-inc,34216, Some-college,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,7991,0,35, United-States, >50K
17, Local-gov,147492, HS-grad,9, Never-married, Other-service, Wife, Amer-Indian-Eskimo, Female,-63,0,17, United-States, <=50K
39, Private,438113, Bachelors,12, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,-27,-2,40, Puerto-Rico, <=50K
37, Private,293206, Some-college,13, Married-civ-spouse, Sales, Not-in-family, White, Female,-51,3,49, United-States, <=50K
34, Private,46580, Assoc-voc,5, Married-civ-spouse, Craft-repair, Husband, White, Male,2,0,43, Cambodia, <=50K
22, ?,44689, 11th,4, Separated, Machine-op-inspct, Unmarried, White, Male,64,-2,39, United-States, <=50K
49, Private,306594, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,9,0,40, Honduras, <=50K
36, State-gov,122506, HS-grad,8, Divorced, Adm-clerical, Unmarried, White, Female,26,3,17, El-Salvador, <=50K
20, ?,357102, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,28,-2,40, United-States, <=50K
32, ?,129526, Assoc-acdm,8, Married-civ-spouse, Handlers-cleaners, Other-relative, White, Male,14,0,24, United-States, <=50K
34, Local-gov,101351, Assoc-voc,14, Married-spouse-absent, Sales, Not-in-family, White, Female,8,-5,34, United-States, <=50K
28, Private,189608, 7th-8th,5, Separated, Prof-specialty, Not-in-family, White, Male,77,-3,40, Cuba, <=50K
51, Self-emp-inc,327744, 7th-8th,13, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Male,-1,2046,40, United-States, <=50K
38, Private,166514, Bachelors,13, Married-AF-spouse, Tech-support, Not-in-family, White, Male,-37,0,39, Outlying-US(Guam-USVI-etc), <=50K
47, Private,48712, Prof-school,12, Married-civ-spouse, Transport-moving, Husband, White, Male,-49,-1,43, Canada, >50K
19, Private,369833, Bachelors,13, Never-married, Prof-specialty, Husband, Asian-Pac-Islander, Male,65,-2,40, Puerto-Rico, <=50K
44, Self-emp-inc,208390, Some-college,13, Married-civ-spouse, Transport-moving, Husband, White, Male,64,-1,43, United-States, >50K
31, State-gov,250781, Assoc-voc,13, Married-spouse-absent, Prof-specialty, Husband, White, Male,0,0,50, Vietnam, >50K
18, Private,519910, 11th,4, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Male,-23,-3,39, United-States, <=50K
34, Self-emp-not-inc,201315, Some-college,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,26,-4,49, ?, <=50K
43, Federal-gov,105869, HS-grad,13, Divorced, Transport-moving, Wife, White, Female,-8,3,49, United-States, >50K
51, Private,211116, Assoc-acdm,9, Never-married, Other-service, Unmarried, White, Female,37,0,39, United-States, <=50K
29, Private,34322, HS-grad,9, Widowed, Farming-fishing, Not-in-family, White, Male,-54,0,39, United-States, <=50K
51, Private,173698, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,-93,0,51, United-States, >50K
35, Private,224792, HS-grad,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,46,0,44, United-States, >50K
32, Self-emp-not-inc,40060, Some-college,9, Married-civ-spouse, Sales, Husband, White, Male,72,0,57, United-States, >50K
46, Federal-gov,130048, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,47,2020,39, United-States, >50K
33, Private,119898, 7th-8th,4, Married-civ-spouse, Tech-support, Husband, White, Male,13,-2,48, United-States, <=50K
34, Self-emp-not-inc,150016, Some-college,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,49, United-States, >50K
39, Self-emp-not-inc,312743, HS-grad,9, Widowed, Handlers-cleaners, Not-in-family, White, Female,28,-1,33, United-States, <=50K
64, Private,256746, Doctorate,9, Never-married, Machine-op-inspct, Husband, White, Male,64,0,39, Canada, <=50K
45, Local-gov,185097, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female,-52,0,49, United-States, <=50K
37, Self-emp-inc,199490, Prof-school,13, Married-civ-spouse, Tech-support, Husband, White, Male,8,1,60, United-States, >50K
50, Private,121412, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,54,3,39, United-States, >50K
41, Self-emp-not-inc,315497, Assoc-voc,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,6863,1894,70, United-States, >50K
27, Private,114997, Bachelors,13, Divorced, Exec-managerial, Husband, Asian-Pac-Islander, Male,78,0,40, Mexico, >50K
58, Private,41274, HS-grad,13, Never-married, Other-service, Own-child, White, Female,-25,0,40, United-States, <=50K
62, Private,233899, HS-grad,8, Widowed, Craft-repair, Other-relative, Black, Female,23,1756,40, United-States, <=50K
33, State-gov,138700, Some-college,13, Separated, ?, Unmarried, White, Female,12,0,32, United-States, <=50K
23, Private,96443, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,-62,2,44, United-States, >50K
29, Private,150712, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Male,71,0,55, Iran, <=50K
36, Private,196100, Some-college,10, Widowed, Exec-managerial, Husband, White, Male,90,-1,15, United-States, <=50K
43, Private,142160, Bachelors,12, Divorced, Prof-specialty, Not-in-family, White, Female,3361,-6,19, United-States, <=50K
46, State-gov,64861, Masters,13, Widowed, Adm-clerical, Unmarried, Black, Female,33,1,18, United-States, <=50K
60, Private,147202, Some-college,9, Married-civ-spouse, ?, Husband, White, Male,29,0,48, Mexico, <=50K
53, Self-emp-not-inc,55244, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,-56,-3,40, United-States, <=50K
35, Self-emp-not-inc,321261, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-41,-1,39, United-States, <=50K
20, Private,565058, HS-grad,8, Never-married, Craft-repair, Own-child, Black, Female,-39,-5,34, United-States, <=50K
57, Private,350680, Doctorate,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,-7,0,49, United-States, >50K
41, ?,146504, HS-grad,6, Never-married, Adm-clerical, Not-in-family, White, Female,-7,0,49, United-States, <=50K
57, Self-emp-not-inc,47696, Prof-school,10, Married-civ-spouse, Transport-moving, Husband, White, Male,81,0,66, United-States, >50K
40, Private,133013, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,57,-3,40, United-States, >50K
27, Self-emp-not-inc,168405, Masters,9, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Male,11,3,12, United-States, <=50K
29, ?,44830, Assoc-voc,12, Married-civ-spouse, Farming-fishing, Own-child, White, Male,34,4,39, United-States, <=50K
32, Self-emp-not-inc,183776, 7th-8th,9, Married-civ-spouse, Craft-repair, Husband, White, Male,15,0,62, Mexico, <=50K
46, Private,78049, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,83,2,39, United-States, <=50K
68, Self-emp-not-inc,129750, HS-grad,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,27,0,39, United-States, <=50K
26, Self-emp-not-inc,356491, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,-37,1732,39, United-States, <=50K
